ref,base,aut,inc,oeu,incfr,gp,ndat,nlc,lc,sre,srcho,mc,cat,comp,dep,autsre,sui,autt,crit,neff,attr,nlitur,tex,num,nott,not,ded,sign,nsre,fcn,fcna,ncho,gnr,cho,cot,part,ed,arg,codinc,lien,intp,eff,instr,nrole,nc,nnc,role,inf,dat,rec,scat,cata,utxt,bibl,disc,cf,évnt,frag,srlitt,gnrt,trad,oeucit,pass,comm,mucont,jlbbur,img,n°img,noms,lcinst
16860704,# compte-rendu,,,,,,,,"CHOISY-LE-ROI, Château","Mercure Galant, juillet 1686, première partie, p. 153-155, 161-162",,réception privée	musique de table	concert	musique de plein air	violon,1686.07.04,,,,,,,,,,"Régal donné à Choisy avec la Description de cette Maison		Le 14 Mademoiselle d'Orléans donna à disner dans sa Maison de Choisy, à Monseigneur le Dauphin, à Monsieur, à Madame, à Madame la princesse de Conty, & à plusieurs autres personnes du premier rang. Choisy est une maison que cette Princesse a fait bastir à deux lieuës de Paris ; & il est assez surprenant qu'un aussi grand Bastiment, avec une fort belle Orangerie, ait esté commencé & finy, sans qu'on ait interrompu le travail. Rien n'est plus beau que la situation de Choisy. La rivière de Seine bat contre le parapet qui règne le long du jardin. Ce qui rend la veuë admirable, c'est qu'elle n'est point bornée. [...] [Suit la description de la maison]		[La princesse d'Orléans] régala toute l'auguste Assemblée dont j'ay commencé à vous parler, avec beaucoup de magnificence. Il y eut quatre Tables servies en mesme temps, & [un] grand Concert de Violons pendant le Disner. [...] L'aprèsdisnée il y eut Concert dans les Appartemens, & sur le soir dans plusieurs Bosquets du Jardin pendant qu'on estoit à la Promenade.",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"MARIE-ANNE-CHRISTINE-VICTOIRE DE BAVIÈRE [1660-1690], dauphine	LOUIS, dauphin de France [1661-1711]	CONTI, Marie-Anne de Bourbon [1666-1739], princesse de	ORLÉANS, Philippe I [1640-1701], duc d'	ORLÉANS, Élisabeth-Charlotte de Bavière [1652-1722], duchesse d'	MONTPENSIER, Anne-Marie-Louise d'Orléans [1627-1693], duchesse de",,,,1686.07.14,,16860704,,,,,,,,,,,,,,,,,,,
16860703,# compte-rendu,,,,,,,,"VERSAILLES, Château, parc, grand canal","Mercure Galant, juillet 1686, première partie, p. 152-153",,musique de plein air	divertissement princier,1686.07.03,,,,,,,,,,"Divertissement à Versailles		Le 13 il y eut Canal le soir à Versailles (c'est le terme dont on se sert à la Cour pour dire qu'on s'y promène sur le Canal.) Monseigneur le Dauphin, & Madame la Dauphine prirent ce plaisir, accompagnez de toutes les Personnes distinguées qui n'avoient point suivy le Roy dans son Voyage. Il y eut divers Bastimens remplis de Musiciens, & l'on y servit un Repas magnifique.	.",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"LOUIS, dauphin de France [1661-1711]	MARIE-ANNE-CHRISTINE-VICTOIRE DE BAVIÈRE [1660-1690], dauphine	LOUIS XIV [1638-1715], roi de France",,,,1686.07.13,,16860703,,,,,,,,,,,,,,,,,,,
16860702,# compte-rendu,,,,,,,,TOULOUSE,"Mercure Galant, juillet 1686, première partie, [p. 98-100]",,naissance	réjouissance publique	trompette	concert,1686.07.02,,,,,,,,,,"Madame la Présidente de Maniban accouche d'un Fils après dix-huit ans de Mariage.		Il y en a qui sortent trop tost du Monde, & d'autres s'y font attendre longtemps. Tel est le Fils qui est né le second jour de ce mois à Madame la Présidente de Maniban, après dix-huit ans de Mariage. Elle est Fille de Mr Fieuber, Premier Président au Parlement de Toulouse. Mr le Marquis de Maniban son Mary, Président au Mortier dans le mesme Parlement, fit éclater la joye qu'il avoit de cette naissance, par des feux, des concerts de Trompetes, des profusions de vin, & des Illuminations qui furent suivies dans tout son quartier. Madame de Maniban est une personne des plus accomplies de cette Province. Il y a trois ou quatre ans qu'elle parut à la Cour, & l'estime que les Gens du meilleur goust marquèrent pour elle, fit voir que le vray mérite n'y demeure pas longtemps inconnu.",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"MANIBAN, Jean-Guy [1636-1707], marquis de	FIEUBERT, Gaspard de [1626-1684]	MANIBAN, Joseph-Gaspard [1686-1762], marquis de	MANIBAN, Madeleine de Fieubet [?-?], marquise de",,,,1686.07,,16860702,,,,,,,,,,,,,,,,,,,Cour de France
16860605,# compte-rendu,,,,,,,,"PARIS, Couvent des Théatins, église Sainte-Anne-la-Royale","Mercure Galant, juin 1686, p. 296-298",,célébration du retour de la santé	Te Deum laudamus,1686.06.05,,,,,,,,,,"Prières faites [...] aux Théatins à Paris, pour rendre grâces à Dieu du retour de la Santé du Roy.		[...] Il s'est fait une grande Cérémonie [...] pour [le « rétablissement de la Santé du Roy »] à Paris [...] & les Théatins de Sainte Anne la Royale célébrèrent le 24 de ce mois un Salut, où l'on chanta le Te Deum en Musique, de la composition de Mr Lorenzani, Maistre de Musique de la feu Reyne. Mr le Nonce du Pape y officia, & donna la Bénédiction du S. Sacrement. Le bruit qui s'estoit répandu de cette Cérémonie, attira quantité de Personnes de la première qualité [...].",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"LOUIS XIV [1638-1715], roi de France	LORENZANI, Paolo [1640-1713]	NONCE APOSTOLIQUE	MARIE-THÉRÈSE [1638-1683], reine de France",,,,1686.06.24,,16860605,,,,,,,,,,,"LORENZANI, P., Te Deum",,,,,,,,
16860604,# compte-rendu,,,,,,,,"VERSAILLES, Château, chapelle","Mercure Galant, juin 1686, p. 212-213",,Veni creator spiritus mentes	Pentecôte,1686.06.04,,,,,,,,,,"Tout ce qui s'est passé à la Réception des quatre nouveaux Chevaliers de l'Ordre		[Le jour de la Pentecôte, le duc de Chartres, le duc de Bourbon, le prince de Conti et le duc du Maine furent reçus, en la chapelle de Versailles, chevaliers de l'Ordre du Saint-Esprit par Louis XIV. Après une longue description de la cérémonie, on peut lire :]		[...] Mr l'Archevesque de Paris, Prélat Commandeur de l'Ordre, estant arrivé, revestu de ses habits pontificaux, commença le Veni Creator, que la Musique du Roy continua. [...]",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"ORLÉANS, Philippe II [1674-1723], duc d'	CONTI, Louis-Armand I de Bourbon [1661-1685], prince de	MAINE, Louis-Auguste de Bourbon [1670-1736], duc du	CONDÉ, Henri-Jules de Bourbon [1643-1709], prince de	HARLAY DE CHAMPVALLON, François de [1625-1695]	LOUIS XIV [1638-1715], roi de France",,,,1686.06,,16860604,,,,,,,,,,,"non identifié, Veni Creator",,,,,,,,Musique du roi
16860602,# compte-rendu,,,,,,,,"TRÉBISONDE	ROME, Collegio de Propaganda Fide	ROME, Église della Trinità dei Monti","Mercure Galant, juin 1686, p. 150-152, 163-165, 170",,Te Deum laudamus	fanfare	concert	éloge du roi	trompette	tambour	timbale	violon	messe en musique	conversion,1686.06.02,,,,,,,,,,"Grande Feste donnée à Rome par M. le Cardinal d'Estrées		Je vous ay déjà fait part de tout ce qui s'est passé à Rome à l'occasion de la Feste Générale, faite pour la Réunion des Protestans de France à l'Eglise Catholique. Il me reste à vous parler d'une Féte particulière, qui a fait connoistre le zèle de Mr le Cardinal d'Estrées. Il choisit pour cela l'Eglise de la Trinité du Mont, parce qu'il en est Titulaire. [...] Vous jugez bien que la Feste fut d'une magnificence extraordinaire, puisqu'on ne peut soutenir les interests & la gloire de la France avec plus d'éclat, plus de grandeur, plus de prudence & plus deconduite que font Mr le Duc d'Estrées, & M le Cardinal son Frère. [...]	[La fête fut fixée au 12 mai. Dans l'église richement décorée pour l'occasion, furent reçu « M. Altoviti Patriache, [accompagné] d'un très grand nombre de Prélats, & d'autres Personnes de qualifiées, ce qui faisoit un Cortège de plus de vingt-six Carrosses ».]		Après la Messe, que Mr Cafati, Archevesque de Trebisonde célébra pontificalement, & qui fut chantée par deux Choeurs de plus de soixante & dix Musiciens. On entonna le Te Deum, qui fut aussi chanté en Musique, aux fanfares des Trompettes, & au bruit de Boëtes ; des Tambours & des Timbales. [...] Lorsque [la cérémonie] fut achevée, Mr le Cardinal d'Estrées régala magnifiquement un grand nombre de Personnes de qualités dans la grande Salle du Collège de Propaganda Fide. [...] Ce repas fut suivy d'une belle symphonie, & d'un récit en Vers Italiens à la loüange du Roy, que quatre des plus belles voix de Rome chantèrent dans une autre Salle, où ce Cardinal avait fait passer la Compagnie. [...] [Avec l'obscurité débuta l'Illumination de l'Eglise, du Couvent de la Trinité ainsi que des maisons environnantes.]		[...] un peu après que l'Illumination eut paru, on entendit un Concert de Tambours & de Trompettes. Il fut suivy d'un autre de Violons, après lequel divers instrumens firent une Symphonie très agréable, pendant qu'une des plus belles voix de Rome chantoit un Récit à la loüange du Roy. [...]",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"ESTRÉES, César d' [1628-1714]	LOUIS XIV [1638-1715], roi de France	COEUVRES, François-Hannibal d'Estrées [1623-1687], marquis de	CAFATI, Mr	ALTOVITI, Giacomo [?-1693]",,,,1686.05.12,,16860602,,,,,,,,,,,"non identifié, Messe en musique	non identifié, Te Deum laudamus",,,,,,,,
16860601,# compte-rendu,,,,,,,,"PARIS, Église Saint-Marcel","Mercure Galant, juin 1686, p. 1-2, 4-5",,célébration du retour de la santé	salut en musique	décoration d'église	Te Deum laudamus	procession,1686.06.01,,,,,,,,,,"Prières pour rendre grâces à Dieu du retour de la santé du Roy		Je ne suis pas étonné, Madame, qu'on ait fait des prières dans vostre Province pour l'entier rétablissement de la santé de nostre Auguste Monarque, puisque Paris a donné l'exemple à toutes les Villes du Royaume. [...]		Le Chapitre de S. Marcel donna des marques de son zèle sur la fin du mois passé, par un salut qui fut chanté en Musique dans cette Eglise. Elle estoit ornée ces jours-là des plus belles Tapisseries de la Manufacture Royale des Gobelins. Le S. Sacrement y fut exposé, & Mr le Doyen le porta en Procession. Les Chanoines, Chapelains, & Ecclésiastiques de la Communauté de ce Chapitre y assistèrent au nombre de quatre-vingt, tous en Chapes, & la Cérémonie se termina par le Te Deum, en action de grâces de l'entier recouvrement d'une Santé si prétieuse en France. [...]",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"LOUIS XIV [1638-1715], roi de France",,,,1686.06,,16860601,,,,,,,,,,,"non identifié, Te Deum laudamus	non identifié, Salut en musique",,,,,,,,Manufacture royale des Gobelins	Chapitre de l'église Saint-Marcel de Paris
16860508,# compte-rendu,,,,,,,,"PARIS, Vieux Louvre	VERSAILLES, Église Notre-Dame","Mercure Galant, mai 1686, p. 223-225",,cloche	carillon	bénédiction d'une cloche,1686.05.09,,,,,,,,,,"Autre [cérémonie] faite à Versailles		Comme résoudre & exécuter n'est pour le Roy qu'une mesme chose, surtout dans ce qui regarde le service de Dieu, le Bastiment de la Paroisse de Versailles est presque achevé, quoy qu'il soit commencé depuis peu de temps, & qu'il ait deux Tours & une grande façade. Les six Cloches destinées pour cette nouvelle Eglise, furent bénistes le 3 de ce mois par Mr l'Archevesque de Paris. Monseigneur le Dauphin & Madame la Dauphine nommèrent la première & la cinquième, & les quatre autres furent nommées par les Princes & les Princesses du Sang qui assistèrent à cette Cérémonie. Sa Majesté qui se connoist parfaitement à tout, a pris plaisir à entendre le Carillon de ces Cloches, qui ont leur six Tons de Musique, avec une justesse admirable. Elles ont esté fonduës au vieux Louvre par le Sr de Ninville, & le Sr Droüart son Gendre. Cette fonte a succédé à celle du Carillon de la Samaritaine, ce qui augmente de jour en jour la réputation des Ouvriers, qui continuent à travailler pour le Roy dans le mesme lieu.",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"LOUIS XIV [1638-1715], roi de France	LOUIS, dauphin de France [1661-1711]	MARIE-ANNE-CHRISTINE-VICTOIRE DE BAVIÈRE [1660-1690], dauphine	HARLAY DE CHAMPVALLON, François de [1625-1695]	NAINVILLE, Nicolas de [?-1690 ap.]	DROUART, Claude",,,,1686.05.03,,16860508,,,,,,,,,,,,,,,,,,,
16860507,# compte-rendu,,,,,,,,"PARIS, Église Saint-Jean-en-Grève","Mercure Galant, mai 1686, p. 217-219, 221-222",,translation de reliques	procession	Te Deum laudamus	salut en musique	basse de viole,1686.05.08,,,,,,,,,,"Cérémonie faite dans l'Eglise de S. Jean en Grève		Le 12 de ce mois on célébra avec beaucoup de magnificence la Feste de la Translation des Reliques de S. Nicolas, Evesque de Mire, dans l'Eglise de S. Jean en Grève. Le motif de cette Feste fut de relever une Confrairie érigée à l'honneur de ce Saint, il y a plus de trois siècles, & qui avoit esté comme éteinte dans les dernières années. C'est à quoy Messire Antoine-Alexandre de Francelles, Docteur de la maison & Société de Sorbonne, & Curé de S. Jean, a fort contribué par ses soins, aussi bien que Mr l'Abbé Billet, Directeur de cette Confrairie, qui est maintenant administrée par les Clercs & Acolytes de la Paroisse. [...]		[Après la procession,] l'Abbé Morelet fit le panégyrique du Saint avec beaucoup d'applaudissement, & près de deux cens Prestres se trouvèrent au Salut. La Musique avoit esté faite par le Sr Boutillier, Musicien de Mademoiselle de Guise, qui n'en a que de bons, & disciple de Mr Marais, si connu pour la Basse de Viole. Le Te Deum fut chanté en action de grâces à Dieu pour le rétablissement de la santé du Roy ; & pour le retour des Protestans au sein de l'Eglise. Ce fut par ces deux raisons que l'on s'attacha particulièrement à donner à cette Feste toute la pompe qui en pouvoit augmenter l'éclat. [...]",,,,,Camille Tanguy	Thomas Vernet,,,,,,,,,,,,,,,,,"BILLET, abbé	BOUTEILLER, Pierre [1650-1732]	saint NICOLAS [270-345]	FRANCELLES, Antoine-Alexandre de	GUISE, Marie de Lorraine [1615-1688], duchesse de	MARAIS, Marin [1656-1728]	COMBES, abbé Laurent Morelet [1636-?], sieur de",,,,1686.05.12,,16860507,,,,,,,,,,,"BOUTEILLER, P., Salut en musique",,,,,,,,
16860506,# lettre,,,,,,,,"BOLOGNE	VATICAN, Palais du pape, chapelle	ROME, Église San Luigi dei Francesi	ROME, Castel Sant'Angelo	ROME, Église Santa Maria dei Miracoli","Mercure Galant, mai 1686, p. 189-200, 204-205",,Te Deum laudamus	conversion	fanfare	messe en musique	protestantisme	Quarante heures	cloche	trompette	lettre,1686.05.06,,,,,"CRAMAILLES, Jacques Chassebras, seigneur de",,,,,"Lettre contenant ce qui s'est passé à Rome touchant le Te Deum, chanté pour rendre grâce à Dieu de l'entière réunion des Protestans de France à l'Eglise Catholique.		J'ay eu raison de vous dire que j'esperois ne pas finir cette Lettre, sans vous apprendre ce se seroit passé dans la Cérémonie du Te Deum qu'on devoit chanter à Rome, pour rendre grâces à Dieu de l'entière réunion des Protestans de France à l'Eglise Catholique. Ce que Mr de Chassebras de Cramailes a écrit là-dessus à Mr le Duc de S. Aignan, contient toutes les particularités de cette Feste. On m'a donné une copie de sa Lettre, dont je vous fait part. Comme il a esté témoin de tout, sa Relation est fort exacte.		De Rome ce Mardy 30 avril 1686		L'on admiroit icy depuis longtemps les grands progrès qui se faisoient dans la France au sujet de la Conversion des Religionnaires, & l'on voyoit que le Ciel secondoit de plus en plus les pieuses entreprises de nôtre Auguste Monarque, lorsque la nouvelle arriva de l'Edit du mois d'Octobre dernier, par lequel Sa Majesté déffendoit l'Exercice de la Religion Prétendue Réformée dans tout son Royaume. Cette nouvelle fut si bien receuë à Rome, que la Chambre Apostolique fit aussitost traduire cet Edit en Italien. On le mit sous la presse ; mais le grand nombre des Exemplaires qui en furent faits ne suffisant pas pour satisfaire l'empressement que chacun montroit d'en avoir une copie, on fut obligé de l'imprimer de nouveau à Bologne, & en d'autres Villes d'Italie. Le Pape écrivit aussitost à Sa Majesté une Lettre de congratulation, comme vous avez seu, & témoigna à plusieurs particuliers qu'il n'avoit jamais receu de nouvelle qui le touchast plus sensiblement. L'effet surprenant de cet Edit ayant fait voir par la Suite que Dieu y mettoit la main, & toute la France se trouvant aujourd'huy presque entièrement purgée de l'Hérésie de Calvin par les soins extraordinaires du Roy, qui n'a d'autre veuë dans toutes ses entreprises que la gloire de Dieu, la grandeur de son Royaume & la félicité de ses Peuples ; Sa Sainteté fit convoquer un Consistoire secret au commencement de ce Caresme, & fit à la fin un Discours Latin tout plein d'éloquence, pour faire voir l'avantage que la Religion recevoit du zèle de nostre pieux Monarque, qui soûtenoit avec tant de gloire la qualité de Trés-Chrétien & de Fils aisné de l'Eglise.[...] Le 26 de ce mois, il ordonna qu'il se tiendroit Chapelle extraordinaire le Dimanche suivant dans la Chapelle de son Palais, & que dans le temps qu'il entonneroit luy mesme le Te Deum, les Canons du Chasteau S. Ange feroient leur décharge, & que toutes les Eglises de Rome, tant les Basiliques, Patriarcales, Collégiales, que les autres Séculières & Régulières sans en excepter aucune, sonneroient ensemble toutes leurs Cloches durant l'espace d'une demie-heure, ordonnant encore qu'il feroit chanter un Te Deum solemnel le mesme jour dans chacune de ces Eglises à la fin de la Grand'Messe, qui est l'heure où la dévotion attire le plus de monde. Ce jour venu qui fut le Dimanche dernier 28 d'Avril, Mr le Cardinal d'Estrées se rendit le matin de bonne heure à la Chapelle du Pape, accompagné d'une Suite extraordinaire de Carrosses ; tous les François qui sont à Rome & un grand nombre de Prélats & de Gentilshommes Romains & Etrangers ayant voulu faire Cortège. Il chanta la Messe en présence de tous les Cardinaux & de toute la Prélature de Rome. Les Maîtres de Cérémonie du Pape avoient mit leur habit rouge dont il ne se servent que dans les plus grandes Festes, & la Messe étant finie, ce mesme Cardinal entonna le Te Deum aux fanfares de toutes les Trompettes du Palais, & au bruit du Canon, & de toutes les Cloches de la Ville qui se firent entendre à plus de douze milles aux environs [...]	Le mesme jour au matin l'on exposa le Saint Sacrement pour les Prières des Quarante-heures, dans l'Eglise Paroissiale de S. Loüis des François, administrée par des Ecclésiastiques de la Nation. Le Pape avoit accordé une Indulgence plenière à tous ceux qui visiteroient cette Eglise l'un des trois jours qu'il y demeureroit exposé, & qui s'estant mis en état de mériter les grâces du Ciel, remercieroient Dieu de l'heureux retour des Hérétiques de France à l'Eglise Catholique. Pendant ces trois jours il y est venu un nombre infiny de Peuple, & le Sr Mellani, Maistre de Musique de cette Eglise, & l'un des plus habiles de Rome, a semblé se surpasser luy-mesme dans cette rencontre où il a voulu faire paroistre le zèle ardent qu'il a pour l'interest de la Religion, & pour tout ce qui regarde l'avantage de la France. [...]		Aujourd'huy Mardy martin, les Pères Picpus de Sainte Marie des Miracles ont célèbré une Messe solemnelle dans leur Eglise, avec grand Choeur de Musique & Simphonie. Ensuite ils ont chanté le Te Deum, & tiré toute la quantité de Boëtes & de Mortiers. Ils se préparent à redoubler ce soir les Illuminations du Dôme de leur Eglise, & de toutes les fenestres de leur Couvent. [...]",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"CRAMAILLES, Jacques Chassebras, seigneur de	SAINT-AIGNAN, François de Beauvillier [1610-1687], duc de	LOUIS XIV [1638-1715], roi de France	ESTRÉES, César d' [1628-1714]	MELANI, Alessandro [1623-1703]	ODESCALCHI, Benedetto [1611-1689]	CALVIN, Jean [1509-1564]",,,,1686.04.30	1686.04.26	1685.10	1686.04.28,,16860506,,,,,168605061,,,,,,"non identifié, Messe en musique",,,,,,,,Chambre apostolique
16860505,# compte-rendu,,,,,,,,"PARIS, Grand Couvent des Cordeliers","Mercure Galant, mai 1686, p. 187-188",,messe chantée en langue étrangère	Quasimodo	fête du Saint-Sépulcre,1686.05.05,,,,,,,,,,"Messe & Sermon en Grec		Je vous ay parlé plusieurs fois de la Feste de la Commémoration du S. Sépulcre qu'on célèbre tous les ans aux Cordeliers du Grand Couvent, le Dimanche de Quasi modo. On y chante une Messe en Grec ; & après l'Evangile, on fait un Discours dans la mesme Langue [...]",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,,,,,1686.06	1686.05,,16860505,,,,,,,,,,,,,,,,,,,
16860503,# compte-rendu,,,,,,,,,"Mercure Galant, mai 1686, p. 185-186",,basse continue	guitare	luth	musique dialoguée	ouvrage théorique	théorbe	livre nouveau,1686.05.03,,,,,,,,,,"Table contenant les principes de la Musique en Dialogue		Il s'est fait depuis peu une Table contenant les principes de la Musique en Dialogue. Non seulement elle est facile & divertissante pour ceux qui apprennent cette Science de cette manière, mais elle est aussi fort curieuse pour les Spéculatifs & les plus habiles, qui ont témoigné en faire grand cas. Cette Table se distribuë chez Mr Fleury, qui en est l'Auteur. On y trouve encore d'autres Ouvrages fort considérables, qu'il a faits pour joüer la Basse continuë sur le Théorbe, sur le Lut, & sur la Guitarre.",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"FLEURY, Charles [théorbiste]",,,,1686.05,,16860503,,,,,,,,,,,"FLEURY, Ch. Méthode pour apprendre facilement à toucher le théorbe sur la basse continue	FLEURY, Ch. Table contenant les principes de la musique en dialogue",,,,,,,,
16860502,# compte-rendu,,,,,,,,PONT-AUDEMER,"Mercure Galant, mai 1686, p. 165-169",,réception officielle	musique de réjouissance publique	entrée solennelle,1686.05.02,,,,,,,,,,"Réception faite par les Habitans du Ponteaudemer à M. le Marquis de Beuvron. Lieutenant General pour le Roy en Normandie		M. le Marquis de Beuvron, Lieutenant Général pour le Roy en Normandie, se rendit en la Ville du Ponteaudemer le 24 du dernier mois, accompagné de Madame la Marquise de Beuvron sa femme, & de Mademoiselle de Genlis sa Fille, pour visiter un nouveau Port de Mer que sa Majesté y fait faire dans le dessein de rendre cette Ville là une des plus maritimes de la Province. [...]. [A l'annonce de l'arrivée du marquis] la plupart des Gentilshommes & des jeunes Gens, montèrent à cheval avec des parures magnifiques, & tous les Bourgeois se mirent en armes. Surtout, deux Compagnies de Cuirassiers qui sont en Garnison dans les Faux-bourgs allèrent le recevoir le Sabre à la main, & il entra dans la Ville avec de Grandes Acclamations. Mr d'Argences, Lieutenant Général [de] la Ville & du Vicomté du Ponteaudemer, le vint haranguer à la teste des Echevins, aussi bien que Mr du Bourg, premier Avocat du Roy dans la mesme Vicomté. [...] Il y eut deux jours de réjoüissances publiques, avec Cavalcades, grands festins, bruits de Canon & de Mousqueterie, Trompettes, Tambours, Illuminations, Feux de joye, & d'Artifice. Mr de Beuvron visita ce Port de Mer, & partit ensuite au milieu des cris de Vive le Roy.",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"BEUVRON, Henry d'Harcourt [1654-1718], marquis de	BEUVRON, Marie-Anne-Claude de Brulart de Genlis [1669-1750], marquise de	GENLIS, Charlotte-Henriette-Françoise-Éléonore d'Harcourt, dite Mlle de	LOUIS XIV [1638-1715], roi de France	DU BOURG, Mr	ARGENCES, Tanneguy-Joseph Cauvin, sieur d'",,,,1686.04.24,,16860502,,,,,,,,,,,,,,,,,,,
16860501,# compte-rendu,,,,,,,,"MODÈNE, Palais ducal","Mercure Galant, mai 1686, p. 84-93",,bal	opéra italien	concert	tournoi	costume de théâtre	anniversaire	interprète princier	timbale	trompette	musique de plein air,1686.05.01,,,,,,,,,,"Feste pour célébrer le jour de la naissance du Duc de Modène		On a fait cette année une grande Feste à Modène, pour célébrer selon la coûtume du Pays, le jour de la Naissance du Prince qui gouverne cet Estat. Elle devoit se faire le 6 de Mars, mais une légère indisposition qui luy arriva, fut cause qu'on la remit au 13 du mesme mois. Outre un Opéra en Musique que plusieurs Gentilshommes de cette Cour entreprirent de chanter, d'autres Cavaliers de la mesme Cour préparèrent un Tournoy, avec l'agrément de Mr le Duc de Modène [...] Le 27 de Février, dernier jour du Carnaval, pendant que toute la Cour prenoit le Divertissement d'un bal, auquel les Dames avoient esté invitées par ce Prince, la Danse fut interrompüe par un Concert de Musique, après lequel on vit entrer dans la Salle la fameuse Magicienne Circé, dans un équipage très-pompeux, & avec tout l'ornement qui pouvoit faire connoistre une Fille du Soleil. Elle avoit une Baguette à la main, & estoit suivie d'un fort grand nombres de Pages. Elle chanta quelques Vers, pour expliquer le sujet de sa venüe, & sur un signe qu'elle fit ensuite, les Pages présentèrent un Cartel de Defy à Mr le Duc de Modène & à tous ceux de sa Cour, pour soutenir les armes à la main que dans les coeurs généreux l'amour donne de l'éclat à la valeur. Le Défy fut accepté. Il estoit fait sous les noms d'Ulisse Prince d'Itaque ; de Télègone son Fils ; d'Euriloque & d'Elpénor, Compagnons d'Ulisse ; de Picus Roy des Latins & de Learque. Circé en se retirant chanta un autre Air pour marquer l'impatience qu'elle avoit de voir arriver le jour du Combat. Mr le Duc de Modène avec Mr le Prince Foreste, & dix-huit Chevaliers de leur Suite, se rendit le 13 de Mars dans la Place assignée pour le Camp devant le Palais Ducal. Deux Champions de Circé sous les noms d'Ulisse & de Télègone, se placèrent dans leurs postes, & Eplénor sous la forme d'un Lyon, Euriloque sous celle d'un Ours, parurent sur deux morceaux de Bâtimens anciens & à demy ruinez. On voyoit dans la mesme Place deux espèces de Rochers, où se cachèrent Picus & Léarque, tous deux changez en Sirènes. Une Simphonie guerrière avertit les Spectateurs de l'arrivée de Circé, qui parut assise sur un Dragon. Elle s'avança jusques au milieu du Champ, & après avoir animé ses Champions au Combat, elle se retira pour en estre Spectatrice. Alors la Course fut commencée au bruit des Timbales & des Trompettes, & Mr le Duc de Modène, & Mr le Prince Foreste, le premier armé d'une Lance, & l'autre d'une Zagaïe, allèrent rompre contre [les Champions de Circé]. [...] [A l'issue des Combats, la magicienne] rentra dans le Camp assise sur son Dragon comme elle y estoit venüe d'abord. Elle fit connoistre par les derniers Vers qu'elle chanta, que ses Champions cédoient la Victoire. Après qu'elle se fut retirée, Mr le Duc de Modène, avec Mr le Prince Foreste, & les autres Chevaliers, fit une manière de Caracol autour du Camp, & tous s'estant mis ensuite en Escadron, ils sortirent en bon ordre, & rentrèrent au Palais. Toute cette Feste se fit sans Comparse, & sans les Suites qui sont ordinaires dans les Tournois ; Mr le Duc n'ayant regardé celuy-cy que comme un simple Divertissement, qui permettoit qu'on se dispensast des Règles.",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"ESTE, Francesco II d' [1660-1694]	FORESTE, prince",,Ulysse	Circé	Télégone	Euriloque	Elpénor	Picus	Léarque	Sirènes,,1686.02.27	1686.03.13,,16860501,,,,,,,,,,,,,,,,,,,
